accuracy,perf,pair_interaction_threshold_0,pair_interaction_decision_0,pair_interaction_decision_1,self_box_accumulate_threshold_0,self_box_accumulate_decision_0,self_box_accumulate_decision_1,neighbor_box_accumulate_threshold_0,neighbor_box_accumulate_decision_0,neighbor_box_accumulate_decision_1
0.8900962110048045,0.314292,1,1,1,15,0,0,12,0,0
0.8898008347677109,0.51949,54,0,0,0,1,0,2,0,1
0.8900962110048045,0.336876,0,0,1,0,0,0,0,0,1
0.8900604887671208,0.492881,8,0,1,55,1,0,1,0,0
0.8898008347677109,0.510633,0,0,0,17,0,0,2,0,1
0.8900962110048045,0.3154,36,1,1,0,0,1,7,1,0
0.8898008347677109,0.530523,0,1,0,7,1,0,26,0,1
0.8900962110048045,0.344773,0,0,1,1,0,0,0,0,1
0.8900962110048045,0.333152,0,0,1,11,1,1,3,0,0
0.8900962110048045,0.314284,25,1,1,0,0,1,11,1,0
